language_id,vendor_id,movie_id,project_id,movie_title,movie_country,vendor_name,language_code,language_name
107,15,1,1,3%,Brazil,Acolad,sg,Sango
107,15,760,760,Basketball or Nothing,United States,Acolad,sg,Sango
107,15,2646,2646,Hasmukh,India,Acolad,sg,Sango
107,4,392,392,Alibaba Aur 40 Chor,"Soviet Union, India",SDL,sg,Sango
107,4,966,966,Black Spot,"France, Belgium",SDL,sg,Sango
107,18,4822,4822,Penny Dreadful,"Ireland, United Kingdom, United States",thebigword,sg,Sango
107,18,4855,4855,Pieces of a Woman,"Canada, Hungary, United States",thebigword,sg,Sango
107,18,5191,5191,Rhyme Time Town,,thebigword,sg,Sango
107,18,7041,7041,They Are Everywhere,"France, Belgium",thebigword,sg,Sango
107,18,7262,7262,Tucker and Dale vs. Evil,"Canada, United States, India, United Kingdom",thebigword,sg,Sango
107,18,7761,7761,Zaki Chan,Egypt,thebigword,sg,Sango
107,11,497,497,An Ordinary Man,"Serbia, United States",Amplexor,sg,Sango
107,11,2076,2076,"Extremely Wicked, Shockingly Evil and Vile",United States,Amplexor,sg,Sango
107,11,4686,4686,Oscar's Oasis,France,Amplexor,sg,Sango
107,11,5057,5057,Radical: the Controversial Saga of Dada Figueiredo,Brazil,Amplexor,sg,Sango
107,1,1922,1922,Edge of Fear,United States,TransPerfect,sg,Sango
107,1,5256,5256,Rogue Warfare: The Hunt,United States,TransPerfect,sg,Sango
107,5,1211,1211,Carbon,"France, Belgium",RWS Holdings,sg,Sango
107,5,1262,1262,Chal Dhar Pakad,India,RWS Holdings,sg,Sango
107,5,1363,1363,Christmas Break-In,United States,RWS Holdings,sg,Sango
107,5,3587,3587,LEGO Jurassic World: Secret Exhibit,United States,RWS Holdings,sg,Sango
107,5,4733,4733,Pacificum: Return to the Ocean,Peru,RWS Holdings,sg,Sango
107,5,5115,5115,Ready to Mingle,Mexico,RWS Holdings,sg,Sango
107,5,6733,6733,The Ottoman Lieutenant,"Turkey, United States",RWS Holdings,sg,Sango
107,5,7249,7249,True: Happy Hearts Day,"United States, Canada",RWS Holdings,sg,Sango
107,6,3653,3653,Liss Pereira: Reteniendo líquidos,Brazil,translate plus,sg,Sango
107,6,5751,5751,Spenser Confidential,United States,translate plus,sg,Sango
107,10,4025,4025,Melodies of Life - Born This Way,,Welocalize,sg,Sango
107,17,1632,1632,Dave Chappelle: Sticks & Stones,United States,Pactera,sg,Sango
107,17,2446,2446,Go Karts,Australia,Pactera,sg,Sango
107,17,4034,4034,Men on a Mission,South Korea,Pactera,sg,Sango
107,14,414,414,All Hallows' Eve,United States,CyraCom,sg,Sango
107,14,3505,3505,La Robe De Mariee Des Cieux,Taiwan,CyraCom,sg,Sango
107,14,3797,3797,Loving You,Hong Kong,CyraCom,sg,Sango
107,14,7071,7071,Thug Life,India,CyraCom,sg,Sango
107,19,6377,6377,The Frozen Dead,France,Honyaku Center,sg,Sango
107,9,1696,1696,DeMarcus Family Rules,United States,Hogarth Worldwide,sg,Sango
107,9,6517,6517,The Jane Austen Book Club,United States,Hogarth Worldwide,sg,Sango
107,8,4413,4413,Naruto the Movie: Ninja Clash in the Land of Snow,Japan,Appen,sg,Sango
107,8,4457,4457,Next,United States,Appen,sg,Sango
107,8,5112,5112,REA(L)OVE,Japan,Appen,sg,Sango
107,8,5226,5226,River's Edge,Japan,Appen,sg,Sango
107,8,5863,5863,Stunt Science,United Kingdom,Appen,sg,Sango
107,16,1490,1490,Contract,India,Semantix,sg,Sango
107,16,4029,4029,Memories of the Alhambra,South Korea,Semantix,sg,Sango
107,16,5729,5729,Soul to Keep,United States,Semantix,sg,Sango
107,13,109,109,3Below: Tales of Arcadia,United States,Translation Bureau,sg,Sango
107,13,5409,5409,Satyagraha,India,Translation Bureau,sg,Sango
107,13,6850,6850,The School Nurse Files,South Korea,Translation Bureau,sg,Sango
107,7,1931,1931,Effie Gray,United Kingdom,Keywords Studios,sg,Sango
107,7,4493,4493,No One Will Ever Know,Mexico,Keywords Studios,sg,Sango
107,7,7728,7728,You Changed My Life,Philippines,Keywords Studios,sg,Sango
107,3,5143,5143,Reggie Watts: Spatial,United States,LanguageLine Solutions,sg,Sango
107,3,6495,6495,The Innocent Man,United States,LanguageLine Solutions,sg,Sango
34,15,15,15,3022,United States,Acolad,fo,Faroese
34,15,1303,1303,Chef,United States,Acolad,fo,Faroese
34,15,1399,1399,Cities of Last Things,"Taiwan, China, France, United States",Acolad,fo,Faroese
34,4,1378,1378,ChuChu TV Nursery Rhymes & Kids Songs (Hindi),India,SDL,fo,Faroese
34,18,3666,3666,Little Monsters,United States,thebigword,fo,Faroese
34,18,4420,4420,Nate Bargatze: The Tennessee Kid,United States,thebigword,fo,Faroese
34,18,6899,6899,The Square,"United Kingdom, Egypt, United States",thebigword,fo,Faroese
34,18,7127,7127,Todo lo que sería Lucas Lauriente,Argentina,thebigword,fo,Faroese
34,12,2572,2572,Haapus,India,STAR Group,fo,Faroese
34,12,2891,2891,I Am Jane Doe,United States,STAR Group,fo,Faroese
34,12,5178,5178,Return To The 36th Chamber,Hong Kong,STAR Group,fo,Faroese
34,12,5761,5761,Spirit: Riding Free,United States,STAR Group,fo,Faroese
34,11,7207,7207,Treehouse Detectives,"South Korea, United States",Amplexor,fo,Faroese
34,11,7332,7332,Under Arrest,United States,Amplexor,fo,Faroese
