project_id,state_id,timestamp
1,0,2021-08-05 00:00:00
1,1,2021-08-14 00:00:00
1,2,2021-08-23 00:00:00
2,0,2021-03-08 00:00:00
2,1,2021-03-19 00:00:00
2,2,2021-03-29 00:00:00
2,3,2021-04-07 00:00:00
2,4,2021-04-14 00:00:00
3,0,2021-04-02 00:00:00
3,1,2021-04-14 00:00:00
3,2,2021-04-20 00:00:00
3,3,2021-05-01 00:00:00
3,4,2021-05-06 00:00:00
4,0,2021-02-05 00:00:00
4,1,2021-02-09 00:00:00
4,2,2021-02-21 00:00:00
4,3,2021-02-28 00:00:00
4,4,2021-03-11 00:00:00
5,0,2021-08-19 00:00:00
5,1,2021-08-24 00:00:00
6,0,2021-01-26 00:00:00
6,1,2021-01-30 00:00:00
6,2,2021-02-07 00:00:00
6,3,2021-02-17 00:00:00
6,4,2021-02-28 00:00:00
7,0,2021-04-01 00:00:00
7,1,2021-04-10 00:00:00
7,2,2021-04-18 00:00:00
7,3,2021-04-30 00:00:00
7,4,2021-05-06 00:00:00
8,0,2021-05-03 00:00:00
8,1,2021-05-13 00:00:00
8,2,2021-05-24 00:00:00
8,3,2021-05-31 00:00:00
8,4,2021-06-03 00:00:00
9,0,2021-08-23 00:00:00
10,0,2021-01-24 00:00:00
10,1,2021-02-02 00:00:00
10,2,2021-02-05 00:00:00
10,3,2021-02-17 00:00:00
10,4,2021-02-27 00:00:00
11,0,2021-03-04 00:00:00
11,1,2021-03-12 00:00:00
11,2,2021-03-16 00:00:00
11,3,2021-03-22 00:00:00
11,4,2021-04-03 00:00:00
12,0,2021-03-03 00:00:00
12,1,2021-03-08 00:00:00
12,2,2021-03-19 00:00:00
12,3,2021-03-29 00:00:00
12,4,2021-04-02 00:00:00
13,0,2021-03-23 00:00:00
13,1,2021-04-03 00:00:00
13,2,2021-04-13 00:00:00
13,3,2021-04-17 00:00:00
13,4,2021-04-24 00:00:00
14,0,2021-03-16 00:00:00
14,1,2021-03-20 00:00:00
14,2,2021-03-31 00:00:00
14,3,2021-04-08 00:00:00
14,4,2021-04-19 00:00:00
15,0,2021-07-24 00:00:00
15,1,2021-08-05 00:00:00
15,2,2021-08-16 00:00:00
16,0,2021-03-15 00:00:00
16,1,2021-03-25 00:00:00
16,2,2021-03-29 00:00:00
16,3,2021-04-10 00:00:00
16,4,2021-04-19 00:00:00
17,0,2021-05-28 00:00:00
17,1,2021-06-03 00:00:00
17,2,2021-06-10 00:00:00
17,3,2021-06-15 00:00:00
17,4,2021-06-21 00:00:00
18,0,2021-01-09 00:00:00
18,1,2021-01-21 00:00:00
18,2,2021-01-28 00:00:00
18,3,2021-02-07 00:00:00
18,4,2021-02-11 00:00:00
19,0,2021-06-23 00:00:00
19,1,2021-06-28 00:00:00
19,2,2021-07-03 00:00:00
19,3,2021-07-06 00:00:00
19,4,2021-07-10 00:00:00
20,0,2021-06-24 00:00:00
20,1,2021-07-03 00:00:00
20,2,2021-07-14 00:00:00
20,3,2021-07-21 00:00:00
20,4,2021-08-01 00:00:00
21,0,2021-08-06 00:00:00
21,1,2021-08-12 00:00:00
21,2,2021-08-24 00:00:00
22,0,2021-05-29 00:00:00
22,1,2021-06-05 00:00:00
22,2,2021-06-15 00:00:00
22,3,2021-06-25 00:00:00
22,4,2021-07-03 00:00:00
23,0,2021-03-25 00:00:00
23,1,2021-04-06 00:00:00
23,2,2021-04-10 00:00:00
23,3,2021-04-20 00:00:00
23,4,2021-05-02 00:00:00
24,0,2021-08-05 00:00:00
24,1,2021-08-11 00:00:00
24,2,2021-08-17 00:00:00
24,3,2021-08-20 00:00:00
25,0,2021-01-30 00:00:00
25,1,2021-02-05 00:00:00
25,2,2021-02-13 00:00:00
25,3,2021-02-18 00:00:00
25,4,2021-02-26 00:00:00
26,0,2021-07-28 00:00:00
26,1,2021-07-31 00:00:00
26,2,2021-08-04 00:00:00
26,3,2021-08-09 00:00:00
26,4,2021-08-15 00:00:00
27,0,2021-07-29 00:00:00
27,1,2021-08-10 00:00:00
27,2,2021-08-21 00:00:00
28,0,2021-06-24 00:00:00
28,1,2021-06-28 00:00:00
28,2,2021-07-01 00:00:00
28,3,2021-07-05 00:00:00
28,4,2021-07-11 00:00:00
29,0,2021-08-01 00:00:00
29,1,2021-08-13 00:00:00
29,2,2021-08-17 00:00:00
30,0,2021-01-24 00:00:00
30,1,2021-02-01 00:00:00
30,2,2021-02-05 00:00:00
30,3,2021-02-08 00:00:00
30,4,2021-02-20 00:00:00
31,0,2021-02-19 00:00:00
31,1,2021-02-24 00:00:00
31,2,2021-02-28 00:00:00
31,3,2021-03-10 00:00:00
31,4,2021-03-16 00:00:00
32,0,2021-06-23 00:00:00
32,1,2021-06-26 00:00:00
32,2,2021-07-07 00:00:00
32,3,2021-07-16 00:00:00
32,4,2021-07-28 00:00:00
33,0,2021-08-02 00:00:00
33,1,2021-08-09 00:00:00
33,2,2021-08-13 00:00:00
33,3,2021-08-19 00:00:00
33,4,2021-08-23 00:00:00
34,0,2021-03-31 00:00:00
34,1,2021-04-09 00:00:00
34,2,2021-04-14 00:00:00
34,3,2021-04-17 00:00:00
34,4,2021-04-28 00:00:00
35,0,2021-01-11 00:00:00
35,1,2021-01-23 00:00:00
35,2,2021-01-27 00:00:00
35,3,2021-02-05 00:00:00
35,4,2021-02-11 00:00:00
36,0,2021-04-02 00:00:00
36,1,2021-04-12 00:00:00
36,2,2021-04-24 00:00:00
36,3,2021-04-29 00:00:00
36,4,2021-05-05 00:00:00
37,0,2021-07-21 00:00:00
37,1,2021-07-26 00:00:00
37,2,2021-07-31 00:00:00
37,3,2021-08-08 00:00:00
37,4,2021-08-19 00:00:00
38,0,2021-01-31 00:00:00
38,1,2021-02-12 00:00:00
38,2,2021-02-22 00:00:00
38,3,2021-02-27 00:00:00
38,4,2021-03-02 00:00:00
39,0,2021-06-24 00:00:00
39,1,2021-07-03 00:00:00
39,2,2021-07-15 00:00:00
39,3,2021-07-26 00:00:00
39,4,2021-08-02 00:00:00
40,0,2021-04-10 00:00:00
40,1,2021-04-17 00:00:00
40,2,2021-04-22 00:00:00
40,3,2021-05-03 00:00:00
40,4,2021-05-06 00:00:00
41,0,2021-07-09 00:00:00
41,1,2021-07-13 00:00:00
41,2,2021-07-21 00:00:00
41,3,2021-07-24 00:00:00
41,4,2021-08-04 00:00:00
42,0,2021-02-04 00:00:00
42,1,2021-02-10 00:00:00
42,2,2021-02-20 00:00:00
42,3,2021-02-28 00:00:00
42,4,2021-03-12 00:00:00
43,0,2021-06-22 00:00:00
43,1,2021-06-30 00:00:00
43,2,2021-07-12 00:00:00
43,3,2021-07-24 00:00:00
43,4,2021-07-29 00:00:00
44,0,2021-04-10 00:00:00
44,1,2021-04-19 00:00:00
44,2,2021-04-23 00:00:00
